,episode,steps,reward,alpha,gamma,epsilon,time,info
1,323,18,1102,0,0,0.01,6:16:31,{'message': 'reached_goal'}
0,324,17,1096,0,0,0.01,6:16:40,{'message': 'reached_goal'}
1,325,18,1102,0,0,0.01,6:16:49,{'message': 'reached_goal'}
0,326,17,1096,0,0,0.01,6:16:57,{'message': 'reached_goal'}
1,327,17,1096,0,0,0.01,6:17:07,{'message': 'reached_goal'}
0,328,19,1097,0,0,0.01,6:17:17,{'message': 'reached_goal'}
1,329,18,1102,0,0,0.01,6:17:26,{'message': 'reached_goal'}
0,330,17,1096,0,0,0.01,6:17:34,{'message': 'reached_goal'}
1,331,18,1102,0,0,0.01,6:17:43,{'message': 'reached_goal'}
0,332,17,1096,0,0,0.01,6:17:52,{'message': 'reached_goal'}
1,333,18,1102,0,0,0.01,6:18:00,{'message': 'reached_goal'}
0,334,17,1096,0,0,0.01,6:18:09,{'message': 'reached_goal'}
1,335,18,1102,0,0,0.01,6:18:18,{'message': 'reached_goal'}
0,336,17,1096,0,0,0.01,6:18:26,{'message': 'reached_goal'}
1,337,17,1096,0,0,0.01,6:18:35,{'message': 'reached_goal'}
0,338,18,1102,0,0,0.01,6:18:44,{'message': 'reached_goal'}
1,339,17,1096,0,0,0.01,6:18:52,{'message': 'reached_goal'}
0,340,19,1108,0,0,0.01,6:19:01,{'message': 'reached_goal'}
1,341,17,1096,0,0,0.01,6:19:10,{'message': 'reached_goal'}
0,342,18,1102,0,0,0.01,6:19:20,{'message': 'reached_goal'}
1,343,17,1096,0,0,0.01,6:19:28,{'message': 'reached_goal'}
0,344,18,1102,0,0,0.01,6:19:38,{'message': 'reached_goal'}
1,345,17,1096,0,0,0.01,6:19:47,{'message': 'reached_goal'}
0,346,18,1102,0,0,0.01,6:19:55,{'message': 'reached_goal'}
1,347,17,1096,0,0,0.01,6:20:03,{'message': 'reached_goal'}
0,348,18,1102,0,0,0.01,6:20:11,{'message': 'reached_goal'}
1,349,17,1096,0,0,0.01,6:20:19,{'message': 'reached_goal'}
0,350,17,1096,0,0,0.01,6:20:28,{'message': 'reached_goal'}
1,351,17,1096,0,0,0.01,6:20:36,{'message': 'reached_goal'}
0,352,17,1096,0,0,0.01,6:20:45,{'message': 'reached_goal'}
1,353,20,1103,0,0,0.01,6:20:55,{'message': 'reached_goal'}
0,354,17,1096,0,0,0.01,6:21:03,{'message': 'reached_goal'}
1,355,19,1108,0,0,0.01,6:21:13,{'message': 'reached_goal'}
0,356,17,1096,0,0,0.01,6:21:22,{'message': 'reached_goal'}
1,357,17,1096,0,0,0.01,6:21:31,{'message': 'reached_goal'}
0,358,18,1102,0,0,0.01,6:21:40,{'message': 'reached_goal'}
