,episode,steps,reward,alpha,gamma,epsilon,time
0,316,500,508,0.1,0.7,0.66,7:25:06
1,317,500,524,0.1,0.7,0.66,7:27:22
0,318,500,492,0.1,0.7,0.65,7:29:39
1,319,500,540,0.1,0.7,0.65,7:31:57
0,320,500,544,0.1,0.7,0.65,7:34:15
1,321,500,516,0.1,0.7,0.65,7:36:34
0,322,500,472,0.1,0.7,0.65,7:38:51
1,323,500,504,0.1,0.7,0.65,7:41:08
0,324,500,516,0.1,0.7,0.65,7:43:25
1,325,500,504,0.1,0.7,0.65,7:45:41
0,326,332,124,0.1,0.7,0.65,7:47:12
1,327,500,508,0.1,0.7,0.65,7:49:29
0,328,500,508,0.1,0.7,0.65,7:51:45
1,329,500,532,0.1,0.7,0.65,7:54:03
0,330,500,508,0.1,0.7,0.65,7:56:20
1,331,500,544,0.1,0.7,0.65,7:58:38
0,332,500,516,0.1,0.7,0.65,8:00:56
1,333,468,256,0.1,0.7,0.64,8:03:04
0,334,500,544,0.1,0.7,0.64,8:05:22
1,335,112,-112,0.1,0.7,0.64,8:05:52
0,336,500,516,0.1,0.7,0.64,8:08:10
1,337,500,472,0.1,0.7,0.64,8:10:28
0,338,500,488,0.1,0.7,0.64,8:12:45
1,339,500,492,0.1,0.7,0.64,8:15:02
0,340,500,512,0.1,0.7,0.64,8:17:20
1,341,438,236,0.1,0.7,0.64,8:19:19
0,342,500,544,0.1,0.7,0.64,8:21:37
1,343,500,500,0.1,0.7,0.64,8:23:54
0,344,500,468,0.1,0.7,0.64,8:26:12
1,345,500,512,0.1,0.7,0.64,8:28:29
0,346,59,-116,0.1,0.7,0.64,8:28:46
1,347,499,296,0.1,0.7,0.64,8:31:03
0,348,500,488,0.1,0.7,0.64,8:33:20
1,349,407,212,0.1,0.7,0.63,8:35:13
0,350,500,480,0.1,0.7,0.63,8:37:28
1,351,500,504,0.1,0.7,0.63,8:39:45
0,352,500,500,0.1,0.7,0.63,8:42:03
1,353,500,556,0.1,0.7,0.63,8:44:20
0,354,500,516,0.1,0.7,0.63,8:46:38
1,355,500,524,0.1,0.7,0.63,8:48:56
0,356,500,484,0.1,0.7,0.63,8:51:14
1,357,411,268,0.1,0.7,0.63,8:53:05
0,358,483,308,0.1,0.7,0.63,8:55:18
1,359,359,160,0.1,0.7,0.63,8:56:56
0,360,500,508,0.1,0.7,0.63,8:59:13
1,361,500,500,0.1,0.7,0.63,9:01:30
0,362,500,492,0.1,0.7,0.63,9:03:46
1,363,500,524,0.1,0.7,0.63,9:06:02
0,364,102,-92,0.1,0.7,0.63,9:06:31
1,365,500,500,0.1,0.7,0.62,9:08:48
0,366,500,500,0.1,0.7,0.62,9:11:05
1,367,500,484,0.1,0.7,0.62,9:13:22
0,368,286,116,0.1,0.7,0.62,9:14:41
1,369,443,248,0.1,0.7,0.62,9:16:42
0,370,500,484,0.1,0.7,0.62,9:19:01
1,371,500,488,0.1,0.7,0.62,9:21:18
0,372,96,-76,0.1,0.7,0.62,9:21:45
1,373,500,504,0.1,0.7,0.62,9:24:02
0,374,500,492,0.1,0.7,0.62,9:26:19
1,375,500,496,0.1,0.7,0.62,9:28:36
0,376,231,64,0.1,0.7,0.62,9:29:40
1,377,500,504,0.1,0.7,0.62,9:31:57
0,378,500,528,0.1,0.7,0.62,9:34:14
1,379,125,-56,0.1,0.7,0.62,9:34:48
0,380,500,476,0.1,0.7,0.62,9:37:06
1,381,500,500,0.1,0.7,0.61,9:39:23
0,382,500,532,0.1,0.7,0.61,9:41:40
1,383,500,536,0.1,0.7,0.61,9:43:58
0,384,204,44,0.1,0.7,0.61,9:44:54
1,385,500,488,0.1,0.7,0.61,9:47:12
0,386,500,496,0.1,0.7,0.61,9:49:29
1,387,186,-44,0.1,0.7,0.61,9:50:20
0,388,500,488,0.1,0.7,0.61,9:52:37
1,389,126,-100,0.1,0.7,0.61,9:53:12
0,390,500,472,0.1,0.7,0.61,9:55:29
1,391,500,464,0.1,0.7,0.61,9:57:45
0,392,500,532,0.1,0.7,0.61,10:00:03
1,393,500,520,0.1,0.7,0.61,10:02:21
0,394,426,224,0.1,0.7,0.61,10:04:16
1,395,500,492,0.1,0.7,0.61,10:06:33
0,396,500,540,0.1,0.7,0.61,10:08:50
1,397,500,508,0.1,0.7,0.6,10:11:08
0,398,500,472,0.1,0.7,0.6,10:13:25
1,399,311,152,0.1,0.7,0.6,10:14:50
0,400,500,492,0.1,0.7,0.6,10:17:06
1,401,500,484,0.1,0.7,0.6,10:19:24
0,402,500,488,0.1,0.7,0.6,10:21:40
1,403,500,480,0.1,0.7,0.6,10:23:57
0,404,500,516,0.1,0.7,0.6,10:26:15
1,405,500,504,0.1,0.7,0.6,10:28:32
0,406,500,500,0.1,0.7,0.6,10:30:48
1,407,127,-48,0.1,0.7,0.6,10:31:23
